section,percentile,logit_diff_1m0,p1_from_logit
ET,10,-5.75,0.0031726828424851893
ET,11,-5.75,0.0031726828424851893
ET,12,-5.625,0.00359360258142009
ET,13,-5.625,0.00359360258142009
ET,14,-5.5,0.004070137715896128
ET,15,-5.43125,0.0043585403209521895
ET,16,-5.375,0.004609572179374208
ET,17,-5.25,0.005220125693558397
ET,18,-5.25,0.005220125693558397
ET,19,-5.125,0.005911068856243796
ET,20,-5.125,0.005911068856243796
ET,21,-5.0,0.0066928509242848554
ET,22,-5.0,0.0066928509242848554
ET,23,-4.875,0.007577241267860811
ET,24,-4.75,0.008577485413711984
ET,25,-4.71875,0.008847355082930384
ET,26,-4.625,0.009708476481474066
ET,27,-4.625,0.009708476481474066
ET,28,-4.5,0.01098694263059318
ET,29,-4.358750000000001,0.012632742630198765
ET,30,-4.25,0.014063627043245475
ET,31,-4.125,0.015906391711814714
ET,32,-4.120000000000001,0.015984848342202568
ET,33,-3.875,0.020332353342658753
ET,34,-3.875,0.020332353342658753
ET,35,-3.75,0.022977369910025615
ET,36,-3.6350000000000016,0.02570571645119407
ET,37,-3.5137500000000017,0.028923523493744108
ET,38,-3.375,0.033085978388704126
ET,39,-3.25,0.03732688734412946
ET,40,-3.25,0.03732688734412946
ET,41,-3.125,0.042087727915618836
ET,42,-3.0,0.04742587317756678
ET,43,-2.7862500000000026,0.05807173845703533
ET,44,-2.539999999999999,0.07310117342237826
ET,45,-2.25,0.09534946489910949
ET,46,-2.125,0.10669059394565118
ET,47,-1.875,0.13296424019782926
ET,48,-1.5,0.18242552380635635
ET,49,-1.3087500000000034,0.21269608952779837
ET,50,-1.0,0.2689414213699951
ET,51,-0.7574999999999932,0.31918928918436285
ET,52,-0.375,0.40733340004593027
ET,53,0.0,0.5
ET,54,0.34499999999999886,0.5854045691294648
ET,55,0.75,0.679178699175393
ET,56,1.0800000000000125,0.7464939833376646
ET,57,1.6612499999999955,0.8404057293275218
ET,58,2.157499999999999,0.8963675466377174
ET,59,2.875,0.9465966702001757
ET,60,3.1499999999999986,0.9589087217995349
ET,61,4.25,0.9859363729567544
ET,62,4.767499999999998,0.9915700604051713
ET,63,5.25,0.9947798743064417
ET,64,5.625,0.9964063974185798
ET,65,5.875,0.9971990730328789
ET,66,6.252500000000005,0.998078066911224
ET,67,6.873750000000001,0.9989664792020567
ET,68,7.3700000000000045,0.9993705283050928
ET,69,7.5,0.9994472213630764
ET,70,7.75,0.9995694429186754
ET,71,7.875,0.999620015485248
ET,72,8.125,0.999704042886487
ET,73,8.35125,0.9997639545232337
ET,74,8.5,0.9997965730219448
ET,75,8.625,0.9998204720306533
ET,76,8.75,0.9998415637808975
ET,77,8.875,0.9998601779243528
ET,78,9.125,0.9998911030899734
ET,79,9.20375,0.9998993489180338
ET,80,9.375,0.9999151889582765
ET,81,9.5,0.9999251537724895
ET,82,9.625,0.9999339478551454
ET,83,9.75,0.9999417087343389
ET,84,9.875,0.9999485577862579
ET,85,9.931249999999999,0.9999513713954781
ET,86,10.052499999999995,0.9999569239360964
ET,87,10.125,0.9999599363077709
ET,88,10.170000000000002,0.9999616991435952
ET,89,10.25,0.9999646437492582
ET,90,10.375,0.9999687980886061
ET,91,10.5,0.9999724643088853
ET,92,10.530000000000001,0.9999732780897984
ET,93,10.625,0.9999756997592568
ET,94,10.75,0.9999785550515792
ET,95,10.875,0.999981074851754
ET,96,11.0,0.999983298578152
ET,97,11.136250000000004,0.9999854258999564
ET,98,11.5,0.9999898700090192
ET,99,11.75,0.9999921107374138
ET,100,12.25,0.9999952149055051
GB,0,-7.5,0.0005527786369235996
GB,1,-7.25,0.0007096703991005881
GB,2,-7.125,0.0008040859356292356
GB,3,-7.0,0.0009110511944006454
GB,4,-6.875,0.0010322310367548194
GB,5,-6.75,0.0011695102650555148
GB,6,-6.625,0.0013250224172131609
GB,7,-6.625,0.0013250224172131609
GB,8,-6.5,0.0015011822567369917
GB,9,-6.375,0.001700722411435288
GB,10,-6.375,0.001700722411435288
GB,11,-6.25,0.0019267346633274757
GB,12,-6.125,0.0021827164453451808
GB,13,-6.125,0.0021827164453451808
GB,14,-6.125,0.0021827164453451808
GB,15,-6.0,0.0024726231566347743
GB,16,-5.875,0.0028009269671209736
GB,17,-5.875,0.0028009269671209736
GB,18,-5.75,0.0031726828424851893
GB,19,-5.75,0.0031726828424851893
GB,20,-5.625,0.00359360258142009
GB,21,-5.5,0.004070137715896128
GB,22,-5.5,0.004070137715896128
GB,23,-5.375,0.004609572179374208
GB,24,-5.375,0.004609572179374208
GB,25,-5.25,0.005220125693558397
GB,26,-5.25,0.005220125693558397
GB,27,-5.125,0.005911068856243796
GB,28,-5.0,0.0066928509242848554
GB,29,-4.875,0.007577241267860811
GB,30,-4.75,0.008577485413711984
GB,31,-4.625,0.009708476481474066
GB,32,-4.5,0.01098694263059318
GB,33,-4.5,0.01098694263059318
GB,34,-4.25,0.014063627043245475
GB,35,-4.125,0.015906391711814714
GB,36,-4.0,0.01798620996209156
GB,37,-3.8412500000000023,0.0210156141691136
GB,38,-3.625,0.025957357197796852
GB,39,-3.5,0.02931223075135632
GB,40,-3.25,0.03732688734412946
GB,41,-3.125,0.042087727915618836
GB,42,-2.897500000000001,0.052277285457887596
GB,43,-2.625,0.0675466911396291
GB,44,-2.125,0.10669059394565118
GB,45,-1.5,0.18242552380635635
GB,46,-0.75,0.320821300824607
GB,47,-0.125,0.46879062662624377
GB,48,0.75,0.679178699175393
GB,49,1.125,0.7549149868676283
GB,50,1.5625,0.8267117940706734
GB,51,2.5,0.9241418199787566
GB,52,2.875,0.9465966702001757
GB,53,3.5,0.9706877692486436
GB,54,4.0,0.9820137900379085
GB,55,4.762500000000003,0.9915281631366769
GB,56,6.065000000000012,0.9976826246875496
GB,57,6.625,0.9986749775827868
GB,58,7.022499999999994,0.9991092005112349
GB,59,7.5,0.9994472213630764
GB,60,7.75,0.9995694429186754
GB,61,8.125,0.999704042886487
GB,62,8.5,0.9997965730219448
GB,63,8.75,0.9998415637808975
GB,64,9.305,0.9999090400232487
GB,65,9.643750000000004,0.9999351747148244
GB,66,9.875,0.9999485577862579
GB,67,10.071250000000006,0.9999577240536068
GB,68,10.25,0.9999646437492582
GB,69,10.25,0.9999646437492582
GB,70,10.375,0.9999687980886061
GB,71,10.375,0.9999687980886061
GB,72,10.5,0.9999724643088853
GB,73,10.625,0.9999756997592568
GB,74,10.625,0.9999756997592568
GB,75,10.75,0.9999785550515792
GB,76,10.75,0.9999785550515792
GB,77,10.875,0.999981074851754
GB,78,10.875,0.999981074851754
GB,79,10.875,0.999981074851754
GB,80,11.0,0.999983298578152
GB,81,11.0,0.999983298578152
GB,82,11.125,0.9999852610180254
GB,83,11.125,0.9999852610180254
GB,84,11.25,0.9999869928715335
GB,85,11.25,0.9999869928715335
GB,86,11.25,0.9999869928715335
GB,87,11.375,0.999988521231873
GB,88,11.375,0.999988521231873
GB,89,11.5,0.9999898700090192
GB,90,11.625,0.9999910603036951
GB,91,11.625,0.9999910603036951
GB,92,11.75,0.9999921107374138
GB,93,11.75,0.9999921107374138
GB,94,11.75,0.9999921107374138
GB,95,11.875,0.9999930377437499
GB,96,12.0,0.9999938558253978
GB,97,12.125,0.9999945777810301
GB,98,12.25,0.9999952149055051
GB,99,12.411249999999995,0.9999959275023459
GB,100,12.875,0.9999974387177893
IS,0,-7.75,0.0004305570813246149
IS,1,-7.375,0.0006263341581094202
IS,2,-7.125,0.0008040859356292356
IS,3,-7.085,0.0008368738428550552
IS,4,-7.0,0.0009110511944006454
IS,5,-6.875,0.0010322310367548194
IS,6,-6.75,0.0011695102650555148
IS,7,-6.5,0.0015011822567369917
IS,8,-6.5,0.0015011822567369917
IS,9,-6.38,0.001692254377379708
IS,10,-6.375,0.001700722411435288
IS,11,-6.27,0.0018886548165821858
IS,12,-6.25,0.0019267346633274757
IS,13,-6.25,0.0019267346633274757
IS,14,-6.125,0.0021827164453451808
IS,15,-6.0,0.0024726231566347743
IS,16,-5.994999999999999,0.0024849864326762527
IS,17,-5.875,0.0028009269671209736
IS,18,-5.875,0.0028009269671209736
IS,19,-5.75,0.0031726828424851893
IS,20,-5.75,0.0031726828424851893
IS,21,-5.625,0.00359360258142009
IS,22,-5.625,0.00359360258142009
IS,23,-5.5,0.004070137715896128
IS,24,-5.375,0.004609572179374208
IS,25,-5.25,0.005220125693558397
IS,26,-5.125,0.005911068856243796
IS,27,-5.125,0.005911068856243796
IS,28,-5.0,0.0066928509242848554
IS,29,-5.0,0.0066928509242848554
IS,30,-4.875,0.007577241267860811
IS,31,-4.75,0.008577485413711984
IS,32,-4.625,0.009708476481474066
IS,33,-4.5,0.01098694263059318
IS,34,-4.379999999999999,0.012370414740162438
IS,35,-4.25,0.014063627043245475
IS,36,-4.125,0.015906391711814714
IS,37,-3.965,0.01861494760472506
IS,38,-3.875,0.020332353342658753
